r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
4.5,0.5,1496,0.503,1.758,2630.03,15m,train,0.65,2354
4.5,0.75,1496,0.487,1.6423,2456.94,15m,train,0.65,2354
4.5,1.0,1496,0.475,1.5521,2321.97,15m,train,0.65,2354
4.5,1.5,1496,0.457,1.4643,2190.58,15m,train,0.65,2354
4.5,2.0,1496,0.45,1.4163,2118.81,15m,train,0.65,2354
5.0,0.25,1496,0.523,2.0351,3044.49,15m,train,0.65,2354
5.0,0.5,1496,0.493,1.819,2721.22,15m,train,0.65,2354
5.0,0.75,1496,0.475,1.6561,2477.5,15m,train,0.65,2354
5.0,1.0,1496,0.462,1.5554,2326.87,15m,train,0.65,2354
5.0,1.5,1496,0.443,1.4586,2182.08,15m,train,0.65,2354
5.0,2.0,1496,0.435,1.4032,2099.13,15m,train,0.65,2354
1.5,0.25,1489,0.627,1.1169,1663.04,15m,train,0.675,2354
1.5,0.5,1489,0.615,1.0793,1607.05,15m,train,0.675,2354
1.5,0.75,1489,0.609,1.0682,1590.51,15m,train,0.675,2354
1.5,1.0,1489,0.602,1.0629,1582.65,15m,train,0.675,2354
1.5,1.5,1489,0.598,1.0577,1574.95,15m,train,0.675,2354
1.5,2.0,1489,0.597,1.0551,1571.01,15m,train,0.675,2354
2.0,0.25,1489,0.602,1.2727,1895.02,15m,train,0.675,2354
2.0,0.5,1489,0.588,1.1888,1770.18,15m,train,0.675,2354
2.0,0.75,1489,0.578,1.1589,1725.55,15m,train,0.675,2354
2.0,1.0,1489,0.57,1.1429,1701.81,15m,train,0.675,2354
2.0,1.5,1489,0.565,1.1256,1675.96,15m,train,0.675,2354
2.0,2.0,1489,0.561,1.1158,1661.46,15m,train,0.675,2354
2.5,0.25,1489,0.582,1.4234,2119.41,15m,train,0.675,2354
2.5,0.5,1489,0.562,1.3083,1948.02,15m,train,0.675,2354
2.5,0.75,1489,0.552,1.2637,1881.71,15m,train,0.675,2354
2.5,1.0,1489,0.542,1.2394,1845.46,15m,train,0.675,2354
2.5,1.5,1489,0.533,1.2124,1805.33,15m,train,0.675,2354
2.5,2.0,1489,0.529,1.1971,1782.5,15m,train,0.675,2354
3.0,0.25,1489,0.563,1.5478,2304.73,15m,train,0.675,2354
3.0,0.5,1489,0.541,1.4037,2090.06,15m,train,0.675,2354
3.0,0.75,1489,0.529,1.3509,2011.56,15m,train,0.675,2354
3.0,1.0,1489,0.516,1.3147,1957.59,15m,train,0.675,2354
3.0,1.5,1489,0.506,1.2737,1896.59,15m,train,0.675,2354
3.0,2.0,1489,0.502,1.2509,1862.66,15m,train,0.675,2354
3.5,0.25,1489,0.551,1.6869,2511.83,15m,train,0.675,2354
3.5,0.5,1489,0.523,1.4936,2223.95,15m,train,0.675,2354
3.5,0.75,1489,0.508,1.4104,2100.08,15m,train,0.675,2354
3.5,1.0,1489,0.496,1.3453,2003.11,15m,train,0.675,2354
