r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
10.0,0.25,1496,0.355,-0.2539,-379.82,15m,train,0.65,2354
10.0,0.5,1496,0.262,-1.3936,-2084.83,15m,train,0.65,2354
10.0,0.75,1496,0.217,-2.2913,-3427.8,15m,train,0.65,2354
10.0,1.0,1496,0.196,-3.0942,-4628.98,15m,train,0.65,2354
10.0,1.5,1496,0.168,-4.3812,-6554.32,15m,train,0.65,2354
10.0,2.0,1496,0.156,-5.4394,-8137.4,15m,train,0.65,2354
12.0,0.25,1496,0.355,-0.198,-296.27,15m,train,0.65,2354
12.0,0.5,1496,0.259,-1.2969,-1940.09,15m,train,0.65,2354
12.0,0.75,1496,0.211,-2.2085,-3303.89,15m,train,0.65,2354
12.0,1.0,1496,0.189,-2.9914,-4475.21,15m,train,0.65,2354
12.0,1.5,1496,0.156,-4.2726,-6391.88,15m,train,0.65,2354
12.0,2.0,1496,0.143,-5.3104,-7944.34,15m,train,0.65,2354
15.0,0.25,1496,0.355,-0.1792,-268.13,15m,train,0.65,2354
15.0,0.5,1496,0.258,-1.2423,-1858.52,15m,train,0.65,2354
15.0,0.75,1496,0.21,-2.1154,-3164.58,15m,train,0.65,2354
15.0,1.0,1496,0.185,-2.8991,-4337.12,15m,train,0.65,2354
15.0,1.5,1496,0.15,-4.172,-6241.32,15m,train,0.65,2354
15.0,2.0,1496,0.136,-5.2059,-7787.96,15m,train,0.65,2354
20.0,0.25,1496,0.354,-0.1571,-235.0,15m,train,0.65,2354
20.0,0.5,1496,0.257,-1.1749,-1757.61,15m,train,0.65,2354
20.0,0.75,1496,0.209,-2.001,-2993.44,15m,train,0.65,2354
20.0,1.0,1496,0.182,-2.7608,-4130.23,15m,train,0.65,2354
20.0,1.5,1496,0.146,-3.9872,-5964.83,15m,train,0.65,2354
20.0,2.0,1496,0.129,-4.9742,-7441.47,15m,train,0.65,2354
5.0,0.25,1489,0.381,-0.4008,-596.74,15m,train,0.675,2354
5.0,0.5,1489,0.311,-1.6393,-2440.88,15m,train,0.675,2354
5.0,0.75,1489,0.279,-2.5736,-3832.07,15m,train,0.675,2354
5.0,1.0,1489,0.267,-3.3341,-4964.43,15m,train,0.675,2354
5.0,1.5,1489,0.242,-4.541,-6761.59,15m,train,0.675,2354
5.0,2.0,1489,0.231,-5.5341,-8240.21,15m,train,0.675,2354
6.0,0.25,1489,0.373,-0.3178,-473.26,15m,train,0.675,2354
6.0,0.5,1489,0.296,-1.558,-2319.92,15m,train,0.675,2354
6.0,0.75,1489,0.259,-2.4902,-3707.89,15m,train,0.675,2354
6.0,1.0,1489,0.242,-3.2682,-4866.37,15m,train,0.675,2354
6.0,1.5,1489,0.219,-4.5153,-6723.33,15m,train,0.675,2354
6.0,2.0,1489,0.213,-5.5312,-8236.0,15m,train,0.675,2354
7.0,0.25,1489,0.363,-0.3105,-462.26,15m,train,0.675,2354
7.0,0.5,1489,0.28,-1.5218,-2265.92,15m,train,0.675,2354
7.0,0.75,1489,0.24,-2.4499,-3647.97,15m,train,0.675,2354
7.0,1.0,1489,0.222,-3.2414,-4826.49,15m,train,0.675,2354
7.0,1.5,1489,0.198,-4.513,-6719.82,15m,train,0.675,2354
7.0,2.0,1489,0.192,-5.556,-8272.95,15m,train,0.675,2354
8.0,0.25,1489,0.36,-0.2693,-401.04,15m,train,0.675,2354
8.0,0.5,1489,0.274,-1.4454,-2152.13,15m,train,0.675,2354
8.0,0.75,1489,0.234,-2.3479,-3495.96,15m,train,0.675,2354
8.0,1.0,1489,0.213,-3.1486,-4688.22,15m,train,0.675,2354
8.0,1.5,1489,0.188,-4.4056,-6559.96,15m,train,0.675,2354
8.0,2.0,1489,0.18,-5.4554,-8123.14,15m,train,0.675,2354
10.0,0.25,1489,0.357,-0.2362,-351.66,15m,train,0.675,2354
