tf,split,hour,dow,net
15m,train,21,4,-6.880497481940481
15m,train,19,6,2.2064145384486062
15m,train,21,6,-4.295701120077979
15m,train,5,1,-3.0542337009925262
15m,train,14,2,3.0183335644936475
15m,train,14,2,-6.928644149502843
15m,train,15,2,11.673981841629107
15m,train,7,3,-2.4058477729524927
15m,train,9,3,-1.4380190824344494
15m,train,22,3,-0.8224739814515692
15m,train,8,4,0.13135705228126615
15m,train,13,0,12.830408870580964
15m,train,1,6,1.2139517389335936
15m,train,17,6,-17.461542150701806
15m,train,21,5,-0.8284049805290059
15m,train,6,6,12.94341730560754
15m,train,7,6,-1.3770746835407262
15m,train,14,6,-2.4529449680143447
15m,train,21,6,-4.010530662739099
15m,train,10,0,-5.136785084324558
15m,train,21,0,0.2872017508064817
15m,train,17,0,-0.5471231151321203
15m,train,23,0,-0.8602324344165981
15m,train,18,1,12.771690833683893
15m,train,18,2,-7.9521748992929115
15m,train,14,3,10.806252554069726
15m,train,8,3,0.14795735116630737
15m,train,11,4,-1.8323061477377975
15m,train,2,5,-1.1743265174841622
15m,train,5,5,-3.2466427918875596
15m,train,14,5,-0.354706248839156
15m,train,0,2,10.456415304442528
15m,train,6,0,-2.6192140785117433
15m,train,8,0,-2.044108467908661
15m,train,20,0,-2.126171765178795
15m,train,2,1,-0.2548671650845994
15m,train,0,1,-0.6138347344650743
15m,train,21,1,0.25698412905610934
15m,train,3,2,-2.017217733878855
15m,train,11,2,-16.170657534264993
15m,train,12,3,-7.834850124130967
15m,train,5,4,-3.0204706664289036
15m,train,19,4,2.926019867254495
15m,train,4,5,-2.7099108052750824
15m,train,17,5,10.03170377247522
15m,train,6,6,-0.7296589668758756
15m,train,16,6,9.855985539238873
15m,train,5,0,9.853251704875786
15m,train,6,0,-0.8091053348157619
15m,train,6,0,9.86467860015652
15m,train,11,0,-0.5844525338043571
15m,train,7,1,-1.9906402814531081
15m,train,15,1,-4.03879668151103
15m,train,23,1,10.05630690770107
15m,train,2,2,-1.2942831352377926
15m,train,7,2,-1.8517024343949202
15m,train,18,3,9.87360412330841
15m,train,1,3,8.66075303959191
15m,train,12,4,-2.261795121902824
15m,train,3,6,9.56859893631629
15m,train,4,6,9.49028052882963
15m,train,17,6,-1.4981909377410145
15m,train,19,6,0.16460635982914074
15m,train,23,6,-2.68893110379309
15m,train,17,0,-5.028861688413533
15m,train,11,1,-1.8472012463995857
15m,train,12,2,-0.1675590680422111
15m,train,10,2,-2.6173288582314176
15m,train,12,3,7.990019399611846
15m,train,1,0,2.6670928489818007
15m,train,5,4,-9.627703481773818
15m,train,4,6,-1.2066511611180264
15m,train,18,6,-3.3398968012464634
15m,train,1,0,-4.045997898538222
15m,train,17,6,-3.271915087111039
15m,train,9,0,9.195966032963998
15m,train,12,0,-0.394406369363951
15m,train,13,0,-5.039957728083814
15m,train,12,1,2.8011142810469676
15m,train,17,1,-3.5457101146021865
15m,train,22,1,-0.2317426430196048
15m,train,10,2,-0.6226270366377603
15m,train,13,2,5.258085125524153
15m,train,5,1,9.06272787823853
15m,train,21,1,8.811775275121684
15m,train,15,2,-1.7541378719991756
15m,train,17,0,4.469955451812899
15m,train,7,0,-3.340092816853914
15m,train,10,1,-3.487070889601064
15m,train,13,1,-3.711715733593447
15m,train,14,1,-0.22698218520803737
15m,train,21,1,0.14208103411621176
15m,train,13,2,8.884247438826895
15m,train,18,2,-0.8154753075080357
15m,train,23,5,-10.35166356056824
15m,train,15,3,-0.554137525054522
15m,train,1,4,9.863064936934617
15m,train,21,4,-1.005042421207898
15m,train,2,5,7.265189995187623
15m,train,5,5,10.064736248486026
15m,train,10,5,-0.8898876137830126
15m,train,17,6,-7.026660551485379
15m,train,9,0,-4.094926272313425
15m,train,16,0,0.08658063923323756
15m,train,9,1,-2.492070964125589
15m,train,14,1,-4.75613240754317
15m,train,16,2,0.8475216874519272
15m,train,1,2,10.397875259502078
15m,train,10,2,1.865620440802389
15m,train,18,2,-1.3355377020376853
15m,train,19,2,2.08356122628475
15m,train,21,2,-5.312706698728951
15m,train,22,2,-2.890774326588261
15m,train,13,3,9.045009154897828
15m,train,4,4,-4.451336887398011
15m,train,7,4,-8.040598557115965
15m,train,10,4,-1.5687600660178376
15m,train,16,4,3.0181494611877633
15m,train,14,4,12.5411546140507
15m,train,21,5,-3.5713063424621247
15m,train,20,5,-2.388978924977394
15m,train,17,5,12.337105169165614
15m,train,6,6,-1.8583634121187003
15m,train,14,6,-1.6091470026918502
15m,train,11,0,-2.8324871938516045
15m,train,11,1,-1.3420749319824408
15m,train,19,2,-1.3213269358068152
15m,train,0,2,12.066245251906762
15m,train,3,2,11.432103002117456
15m,train,11,2,-8.620559124264858
15m,train,22,2,0.8252878635922832
15m,train,19,2,-4.889607798028625
15m,train,16,4,-2.2813766415064043
15m,train,10,5,2.0627171175719363
15m,train,18,5,-0.7312169409591245
15m,train,23,5,-1.6466160820163418
15m,train,2,6,-2.294644466795654
15m,train,3,6,10.420449688115546
15m,train,19,6,-3.372823448553401
15m,train,17,0,11.739511046369588
15m,train,15,0,1.5098144753064804
15m,train,9,3,10.35556055346559
15m,train,2,3,11.13300050487594
15m,train,2,3,1.232146604269677
15m,train,7,3,-7.18296299733974
15m,train,2,4,1.6072685456205873
15m,train,16,4,8.831272658702046
15m,train,7,5,10.751636416528832
15m,train,8,5,10.724490423906119
15m,train,11,6,-1.9451346435008001
15m,train,9,0,8.95277930920479
15m,train,15,1,-0.45805515671469255
15m,train,19,2,10.143102790866275
15m,train,1,3,10.04573300981382
15m,train,3,3,-3.8272083284164227
15m,train,11,3,-5.080677585830557
15m,train,1,4,-15.472662800801977
15m,train,12,4,-1.659308136809419
15m,train,14,4,-3.042436004246327
15m,train,6,5,-3.036494953893754
15m,train,6,5,-2.9521977350087765
15m,train,8,5,-0.16162166251218757
15m,train,10,6,11.83763237267281
15m,train,14,6,0.6528211923101056
15m,train,20,6,-1.8838141532271082
15m,train,4,0,-3.3620796486393782
15m,train,10,0,-1.5199971828265395
15m,train,20,0,-5.998264366053764
15m,train,0,1,12.597994300885075
15m,train,14,1,0.890756683619126
15m,train,18,1,9.26085987812592
15m,train,9,2,-1.414534212972234
15m,train,3,3,-3.247040278217635
15m,train,10,3,12.04241618765135
15m,train,14,3,-1.7994281021809808
15m,train,2,4,-3.846887087997482
15m,train,20,4,-5.0292903570251655
15m,train,9,5,-3.608368287168936
15m,train,15,6,3.1482880104812403
15m,train,7,0,-2.1346333690450017
15m,train,8,1,-2.980968748482863
15m,train,13,1,-1.640336044566398
15m,train,2,2,-1.467516637683742
15m,train,12,2,-4.516526592105726
15m,train,20,2,-4.5944041531657565
15m,train,2,3,-3.0944762268105337
15m,train,3,3,12.781245926587546
15m,train,10,3,-1.5844727717910103
15m,train,2,4,-0.9638358444188958
15m,train,2,4,-2.9164920614016667
15m,train,6,4,-3.473594879045135
15m,train,12,5,-2.8735291325329255
15m,train,15,5,-4.775580474970912
15m,train,14,2,13.143322049119812
15m,train,22,5,-3.0994160769920533
15m,train,2,6,-6.489309295276325
15m,train,7,6,11.676673931804872
