tf,split,hour,dow,net
15m,train,17,4,2.9845933038113643
15m,train,5,5,5.975888392296396
15m,train,7,5,-1.271144759113379
15m,train,17,5,-2.282754533124137
15m,train,7,0,13.303328933603243
15m,train,19,0,-4.5858951758444775
15m,train,15,1,-9.898344597912724
15m,train,18,1,2.4582232301802467
15m,train,18,2,6.900625638868247
15m,train,3,2,13.541238152286681
15m,train,18,2,13.328713358317335
15m,train,6,3,-2.2513768208718674
15m,train,9,3,-2.3154236992594446
15m,train,12,3,11.796778753585585
15m,train,5,4,12.49986013929637
15m,train,21,4,-12.823533685529199
15m,train,3,5,0.08162092793209763
15m,train,5,5,-3.194929572402036
15m,train,8,5,2.609837391491851
15m,train,14,5,6.2724758856086655
15m,train,5,6,-1.2459157210730942
15m,train,8,0,-1.7912257077063705
15m,train,12,0,1.9190738722390734
15m,train,15,1,-3.0766483745759774
15m,train,23,1,-2.946576444504438
15m,train,16,2,6.558969403793112
15m,train,5,2,-0.3213082375785559
15m,train,9,2,3.1902585432824324
15m,train,14,2,-6.65754996779003
15m,train,16,2,3.9782462058440835
15m,train,21,2,1.2385906419743076
15m,train,8,3,6.275897166512101
15m,train,22,4,0.34540159998227526
15m,train,10,5,-4.842338014745719
15m,train,5,6,-0.11565511193164674
15m,train,7,6,-1.356348787905678
15m,train,16,6,-4.081000332405458
15m,train,11,0,0.3272017140949565
15m,train,10,1,3.5320519600157354
15m,train,19,1,-2.9432599306879528
15m,train,1,2,0.02358440538556006
15m,train,6,2,11.929828816860903
15m,train,22,2,-0.010373544176490834
15m,train,4,4,-2.2895886221342643
15m,train,12,4,-11.010073964744906
15m,train,22,4,1.290007387453174
15m,train,0,5,10.97179823604081
15m,train,0,5,10.963216924106995
15m,train,15,5,10.717205793757545
15m,train,2,6,10.581792655310489
15m,train,10,6,-5.614854022640468
15m,train,0,0,-2.5115691091459245
15m,train,6,0,-2.087966127562093
15m,train,15,0,-1.9049015640836058
15m,train,13,1,2.167654366318067
15m,train,15,1,-1.4527999554503048
15m,train,18,1,10.798914233749397
15m,train,5,2,-1.1950340018931849
15m,train,3,2,-1.5107286069730304
15m,train,7,2,-1.9945504671087884
15m,train,12,2,0.3542123386720883
15m,train,17,2,-1.59717593570457
15m,train,6,3,-0.9698035817521197
15m,train,11,3,1.0671428799050333
15m,train,2,4,-1.849900577901843
15m,train,12,4,-3.985826736233542
15m,train,16,5,1.3965159085463834
