r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
1.5,1.5,10971,0.143,-4.8342,-53035.67,15m,train,0.375,16895
1.5,2.0,10971,0.111,-5.7702,-63304.36,15m,train,0.375,16895
2.0,0.25,10971,0.43,-0.9549,-10475.66,15m,train,0.375,16895
2.0,0.5,10971,0.356,-2.1123,-23173.79,15m,train,0.375,16895
2.0,0.75,10971,0.298,-2.9524,-32391.15,15m,train,0.375,16895
2.0,1.0,10971,0.251,-3.6342,-39871.23,15m,train,0.375,16895
2.0,1.5,10971,0.182,-4.7817,-52460.34,15m,train,0.375,16895
2.0,2.0,10971,0.141,-5.7252,-62811.47,15m,train,0.375,16895
2.5,0.25,10971,0.414,-0.8266,-9068.84,15m,train,0.375,16895
2.5,0.5,10971,0.353,-2.0153,-22109.98,15m,train,0.375,16895
2.5,0.75,10971,0.311,-2.877,-31563.78,15m,train,0.375,16895
2.5,1.0,10971,0.275,-3.5749,-39220.03,15m,train,0.375,16895
2.5,1.5,10971,0.213,-4.7331,-51926.32,15m,train,0.375,16895
2.5,2.0,10971,0.169,-5.6843,-62362.21,15m,train,0.375,16895
3.0,0.25,10971,0.399,-0.7123,-7814.98,15m,train,0.375,16895
3.0,0.5,10971,0.34,-1.9343,-21220.67,15m,train,0.375,16895
3.0,0.75,10971,0.306,-2.8146,-30878.65,15m,train,0.375,16895
3.0,1.0,10971,0.279,-3.5207,-38625.11,15m,train,0.375,16895
3.0,1.5,10971,0.231,-4.6889,-51442.28,15m,train,0.375,16895
3.0,2.0,10971,0.192,-5.6489,-61974.38,15m,train,0.375,16895
3.5,0.25,10971,0.384,-0.5891,-6463.36,15m,train,0.375,16895
3.5,0.5,10971,0.327,-1.8305,-20082.64,15m,train,0.375,16895
3.5,0.75,10971,0.298,-2.734,-29994.95,15m,train,0.375,16895
3.5,1.0,10971,0.277,-3.447,-37817.32,15m,train,0.375,16895
3.5,1.5,10971,0.243,-4.6269,-50762.17,15m,train,0.375,16895
3.5,2.0,10971,0.21,-5.598,-61415.21,15m,train,0.375,16895
4.0,0.25,10971,0.376,-0.4896,-5371.71,15m,train,0.375,16895
4.0,0.5,10971,0.315,-1.7355,-19040.21,15m,train,0.375,16895
4.0,0.75,10971,0.288,-2.6508,-29081.83,15m,train,0.375,16895
4.0,1.0,10971,0.27,-3.3722,-36996.86,15m,train,0.375,16895
4.0,1.5,10971,0.243,-4.5618,-50047.32,15m,train,0.375,16895
4.0,2.0,10971,0.219,-5.5435,-60817.52,15m,train,0.375,16895
4.5,0.25,10971,0.368,-0.4091,-4487.89,15m,train,0.375,16895
4.5,0.5,10971,0.305,-1.6498,-18100.21,15m,train,0.375,16895
4.5,0.75,10971,0.277,-2.5772,-28274.0,15m,train,0.375,16895
4.5,1.0,10971,0.26,-3.3046,-36254.93,15m,train,0.375,16895
4.5,1.5,10971,0.237,-4.4993,-49361.3,15m,train,0.375,16895
4.5,2.0,10971,0.217,-5.4885,-60214.66,15m,train,0.375,16895
5.0,0.25,10971,0.361,-0.3507,-3847.2,15m,train,0.375,16895
5.0,0.5,10971,0.297,-1.572,-17246.68,15m,train,0.375,16895
5.0,0.75,10971,0.269,-2.5015,-27444.06,15m,train,0.375,16895
5.0,1.0,10971,0.251,-3.243,-35579.11,15m,train,0.375,16895
5.0,1.5,10971,0.229,-4.4491,-48811.39,15m,train,0.375,16895
5.0,2.0,10971,0.214,-5.4457,-59744.37,15m,train,0.375,16895
7.0,0.25,10971,0.348,-0.1972,-2163.97,15m,train,0.375,16895
7.0,0.5,10971,0.274,-1.3739,-15072.72,15m,train,0.375,16895
7.0,0.75,10971,0.241,-2.31,-25343.53,15m,train,0.375,16895
7.0,1.0,10971,0.221,-3.0597,-33568.45,15m,train,0.375,16895
7.0,1.5,10971,0.201,-4.2878,-47041.73,15m,train,0.375,16895
7.0,2.0,10971,0.188,-5.3049,-58200.46,15m,train,0.375,16895
10.0,0.25,10971,0.342,-0.1203,-1319.83,15m,train,0.375,16895
10.0,0.5,10971,0.261,-1.2466,-13676.97,15m,train,0.375,16895
10.0,0.75,10971,0.222,-2.1877,-24001.51,15m,train,0.375,16895
10.0,1.0,10971,0.198,-2.9388,-32241.52,15m,train,0.375,16895
10.0,1.5,10971,0.172,-4.1734,-45786.72,15m,train,0.375,16895
10.0,2.0,10971,0.157,-5.2042,-57094.77,15m,train,0.375,16895
1.5,0.25,10950,0.439,-1.1186,-12248.38,15m,train,0.4,16895
1.5,0.5,10950,0.336,-2.2308,-24427.33,15m,train,0.4,16895
1.5,0.75,10950,0.259,-3.0514,-33412.3,15m,train,0.4,16895
1.5,1.0,10950,0.207,-3.7245,-40783.09,15m,train,0.4,16895
1.5,1.5,10950,0.141,-4.8537,-53147.82,15m,train,0.4,16895
1.5,2.0,10950,0.109,-5.788,-63379.03,15m,train,0.4,16895
2.0,0.25,10950,0.43,-0.9807,-10738.55,15m,train,0.4,16895
2.0,0.5,10950,0.354,-2.1356,-23384.94,15m,train,0.4,16895
