tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
15m,0.45,4.0,0.75,2.12,1.6415,0.6813,638,1550,723
15m,0.675,5.0,1.0,2.0058,1.6317,1.062,611,1489,692
15m,0.575,4.5,1.0,1.9729,1.631,0.8735,624,1519,704
15m,0.6,5.0,0.75,2.1091,1.6296,1.0088,618,1513,703
15m,0.35,5.0,1.5,2.2014,1.6291,0.3805,643,1571,728
15m,0.475,5.0,1.0,2.215,1.6282,0.7257,636,1544,719
15m,0.5,4.0,0.75,2.0491,1.6272,0.7817,631,1535,715
15m,0.325,4.5,1.0,2.1122,1.6252,0.3895,643,1573,729
15m,0.7,5.0,1.0,1.9635,1.6249,1.2578,611,1485,687
15m,0.6,4.5,1.0,1.7957,1.6248,0.9707,618,1513,703
15m,0.325,3.5,0.75,1.9163,1.6237,0.5411,643,1573,729
15m,0.325,4.0,1.0,2.0674,1.623,0.4249,643,1573,729
15m,0.325,3.0,0.5,1.8448,1.6216,0.5541,643,1573,729
15m,0.625,4.0,0.5,1.933,1.6216,1.1439,617,1505,701
15m,0.35,3.0,0.5,1.7899,1.6194,0.4956,643,1571,728
15m,0.525,4.0,0.75,2.0296,1.6194,0.7611,628,1532,710
15m,0.45,4.5,1.0,2.1791,1.618,0.6061,638,1550,723
15m,0.375,3.5,0.75,1.8752,1.6177,0.414,640,1566,727
15m,0.55,5.0,1.0,2.0666,1.6174,0.9205,627,1525,706
15m,0.5,3.0,0.25,1.9727,1.6149,1.1097,631,1535,715
15m,0.525,3.5,0.5,2.0489,1.6147,0.8635,628,1532,710
15m,0.4,4.0,1.0,2.1244,1.6097,0.5886,640,1563,726
15m,0.475,4.5,1.0,2.189,1.6088,0.8024,636,1544,719
15m,0.575,3.0,0.25,1.8233,1.6056,1.2499,624,1519,704
15m,0.55,3.5,0.5,1.8816,1.6053,0.9792,627,1525,706
15m,0.55,3.0,0.25,1.806,1.6045,1.1944,627,1525,706
15m,0.45,5.0,1.0,2.2626,1.6041,0.6538,638,1550,723
15m,0.325,5.0,1.5,2.2813,1.602,0.5023,643,1573,729
15m,0.4,4.5,1.0,2.1883,1.6016,0.5092,640,1563,726
15m,0.7,4.0,0.75,1.8715,1.5993,1.3281,611,1485,687
15m,0.55,4.0,0.75,1.8516,1.5954,0.8268,627,1525,706
15m,0.425,3.5,0.75,1.8505,1.5942,0.5705,640,1557,724
15m,0.4,3.5,0.75,1.9111,1.5936,0.496,640,1563,726
15m,0.375,2.5,0.25,1.7343,1.5921,0.8082,640,1566,727
15m,0.7,4.5,1.0,1.8745,1.5911,1.2143,611,1485,687
15m,0.675,4.0,0.75,1.8483,1.5903,1.1748,611,1489,692
15m,0.425,4.0,1.0,2.0511,1.5889,0.6356,640,1557,724
15m,0.5,5.0,1.0,2.243,1.5865,0.7579,631,1535,715
15m,0.55,4.5,1.0,1.9747,1.5842,0.9072,627,1525,706
15m,0.625,5.0,0.75,2.1075,1.5838,1.1556,617,1505,701
15m,0.5,3.5,0.5,2.0721,1.5834,0.8861,631,1535,715
15m,0.675,4.5,1.0,1.9516,1.5827,1.1274,611,1489,692
15m,0.35,3.5,1.0,1.7536,1.5821,0.3475,643,1571,728
15m,0.625,4.5,1.0,1.8345,1.5728,1.0031,617,1505,701
15m,0.475,4.0,1.0,1.9662,1.5706,0.684,636,1544,719
15m,0.575,4.0,0.75,2.0384,1.5673,0.8356,624,1519,704
15m,0.3,5.0,1.5,2.241,1.565,0.3883,645,1577,731
15m,0.575,3.5,0.5,1.8788,1.5639,1.0168,624,1519,704
15m,0.6,3.0,0.25,1.7462,1.5614,1.3102,618,1513,703
15m,0.3,3.5,1.0,1.7908,1.5609,0.3151,645,1577,731
15m,0.375,4.0,1.5,1.9173,1.5596,0.3815,640,1566,727
15m,0.5,4.5,1.0,2.216,1.5575,0.857,631,1535,715
15m,0.6,4.0,0.75,1.8549,1.5563,0.9748,618,1513,703
15m,0.65,5.0,1.0,1.9053,1.5554,1.0285,613,1496,695
15m,0.35,4.0,1.5,1.8914,1.5541,0.366,643,1571,728
15m,0.65,4.0,0.75,1.7349,1.5535,1.0598,613,1496,695
15m,0.65,4.5,1.0,1.8585,1.5521,1.0132,613,1496,695
