tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
2h,0.5,10.0,0.75,0.2253,2.2392,0.0326,396,1031,415
2h,0.55,1.5,0.25,1.0056,2.2382,1.399,392,1016,410
2h,0.5,1.5,0.25,1.2158,2.2347,1.1442,396,1031,415
2h,0.525,5.0,0.5,0.6555,2.2286,0.8977,393,1023,412
2h,0.45,1.5,0.25,0.9291,2.2254,0.3427,400,1047,427
2h,0.325,1.5,0.25,0.4875,2.2199,0.3454,417,1082,445
2h,0.675,4.0,0.5,0.4977,2.2168,0.3796,377,985,398
2h,0.35,1.5,0.25,0.5175,2.2138,0.1108,413,1076,442
2h,0.6,4.5,0.5,0.6632,2.2129,0.4148,386,1005,407
2h,0.675,3.5,0.5,0.2957,2.2078,0.3821,377,985,398
2h,0.65,5.0,0.5,0.9098,2.2049,0.5491,380,991,402
2h,0.575,4.5,0.5,0.5547,2.2002,0.6393,390,1008,408
2h,0.3,1.5,0.25,0.4206,2.1942,0.2574,421,1089,450
2h,0.525,10.0,0.75,0.1507,2.1935,0.0881,393,1023,412
2h,0.5,4.5,0.5,0.5907,2.1914,0.7284,396,1031,415
2h,0.475,1.5,0.25,1.0257,2.186,0.9332,399,1038,418
2h,0.55,4.5,0.5,0.4817,2.1837,0.9318,392,1016,410
2h,0.55,10.0,0.75,0.304,2.1797,0.1576,392,1016,410
2h,0.475,5.0,0.5,0.4459,2.1683,0.4761,399,1038,418
2h,0.7,4.0,0.5,0.139,2.1676,0.6606,374,974,397
2h,0.7,4.5,0.5,0.3267,2.1614,0.5689,374,974,397
2h,0.375,1.5,0.25,0.6664,2.1567,0.2944,408,1066,440
2h,0.7,5.0,0.5,0.3795,2.1557,0.5961,374,974,397
2h,0.425,1.5,0.25,0.7285,2.1544,0.1533,402,1053,432
2h,0.525,4.5,0.5,0.6315,2.131,0.7242,393,1023,412
2h,0.475,4.5,0.5,0.4234,2.1297,0.5038,399,1038,418
2h,0.65,4.5,0.5,0.7414,2.1017,0.3331,380,991,402
2h,0.625,4.0,0.5,0.9489,2.0938,0.1852,384,997,404
2h,0.6,4.0,0.5,0.6814,2.0762,0.1251,386,1005,407
2h,0.575,4.0,0.5,0.4285,2.0708,0.299,390,1008,408
2h,0.625,3.5,0.5,0.4954,2.0651,0.2151,384,997,404
2h,0.65,3.5,0.5,0.5098,2.0567,0.2861,380,991,402
2h,0.55,4.0,0.5,0.3737,2.0495,0.6707,392,1016,410
2h,0.5,4.0,0.5,0.6789,2.0407,0.6502,396,1031,415
2h,0.525,4.0,0.5,0.6522,2.0346,0.5509,393,1023,412
2h,0.65,4.0,0.5,0.8258,2.0343,0.2848,380,991,402
2h,0.6,3.0,0.5,0.1367,2.0211,0.2787,386,1005,407
2h,0.6,3.5,0.5,0.4198,2.0069,0.0835,386,1005,407
2h,0.475,4.0,0.5,0.4518,1.9803,0.3812,399,1038,418
2h,0.575,3.5,0.5,0.3766,1.9429,0.2108,390,1008,408
2h,0.675,3.0,0.5,0.129,1.9276,0.296,377,985,398
2h,0.575,3.0,0.5,0.1038,1.9239,0.4593,390,1008,408
2h,0.55,3.5,0.5,0.4419,1.9219,0.2742,392,1016,410
2h,0.5,3.5,0.5,0.5579,1.8974,0.2771,396,1031,415
2h,0.525,3.5,0.5,0.5729,1.8756,0.279,393,1023,412
2h,0.475,3.5,0.5,0.3797,1.8602,0.0333,399,1038,418
2h,0.65,3.0,0.5,0.2258,1.7718,0.1347,380,991,402
2h,0.55,3.0,0.5,0.0932,1.748,0.4245,392,1016,410
2h,0.525,3.0,0.5,0.2166,1.7293,0.2405,393,1023,412
2h,0.6,2.5,0.5,0.1301,1.7256,0.2783,386,1005,407
2h,0.5,3.0,0.5,0.4063,1.7058,0.0851,396,1031,415
2h,0.5,2.5,0.5,0.1033,1.6507,0.5644,396,1031,415
2h,0.525,2.5,0.5,0.0834,1.6316,0.4665,393,1023,412
2h,0.65,2.5,0.5,0.2537,1.5431,0.0533,380,991,402
2h,0.5,2.0,0.5,0.0141,1.3957,0.1963,396,1031,415
2h,0.525,2.0,0.5,0.0726,1.3509,0.3229,393,1023,412
30m,0.675,10.0,0.25,0.1407,0.368,0.1689,1903,4669,1924
30m,0.575,10.0,0.25,0.0469,0.3596,0.0157,1933,4747,1955
30m,0.65,10.0,0.25,0.0961,0.3523,0.0692,1913,4684,1931
