zone_kind,r_target,expiry_days,iv_threshold,n_train,avg_pnl_train,n_val,n_hold
BB,2.0,0.5,70,186,0.756,109.0,78.0
BB,2.0,1.0,60,400,1.21,226.0,156.0
BB,2.0,1.0,65,265,0.76,204.0,117.0
BB,2.0,1.0,70,186,0.815,109.0,78.0
BB,2.0,2.0,60,400,1.239,226.0,156.0
BB,2.0,2.0,65,265,0.773,204.0,117.0
BB,2.0,2.0,70,186,0.879,109.0,78.0
BB,2.0,3.0,60,400,1.256,226.0,156.0
BB,2.0,3.0,65,265,0.783,204.0,117.0
BB,2.0,3.0,70,186,0.912,109.0,78.0
BB,2.0,5.0,60,400,1.277,226.0,156.0
BB,2.0,5.0,65,265,0.794,204.0,117.0
BB,2.0,5.0,70,186,0.946,109.0,78.0
BB,2.5,0.5,60,400,1.414,226.0,156.0
BB,2.5,0.5,65,265,1.146,204.0,117.0
BB,2.5,0.5,70,186,1.286,109.0,78.0
BB,2.5,1.0,60,400,1.461,226.0,156.0
BB,2.5,1.0,65,265,1.101,204.0,117.0
BB,2.5,1.0,70,186,1.385,109.0,78.0
BB,2.5,2.0,60,400,1.531,226.0,156.0
BB,2.5,2.0,65,265,1.123,204.0,117.0
BB,2.5,2.0,70,186,1.469,109.0,78.0
BB,2.5,3.0,60,400,1.566,226.0,156.0
BB,2.5,3.0,65,265,1.136,204.0,117.0
BB,2.5,3.0,70,186,1.508,109.0,78.0
BB,2.5,5.0,60,400,1.605,226.0,156.0
BB,2.5,5.0,65,265,1.15,204.0,117.0
BB,2.5,5.0,70,186,1.547,109.0,78.0
BB,3.0,0.5,60,400,1.389,226.0,156.0
BB,3.0,0.5,65,265,1.076,204.0,117.0
BB,3.0,0.5,70,186,1.068,109.0,78.0
BB,3.0,1.0,60,400,1.452,226.0,156.0
BB,3.0,1.0,65,265,1.059,204.0,117.0
BB,3.0,1.0,70,186,1.143,109.0,78.0
BB,3.0,2.0,60,400,1.512,226.0,156.0
BB,3.0,2.0,65,265,1.056,204.0,117.0
BB,3.0,2.0,70,186,1.221,109.0,78.0
BB,3.0,3.0,60,400,1.534,226.0,156.0
BB,3.0,3.0,65,265,1.051,204.0,117.0
BB,3.0,3.0,70,186,1.255,109.0,78.0
BB,3.0,5.0,60,400,1.56,226.0,156.0
BB,3.0,5.0,65,265,1.049,204.0,117.0
BB,3.0,5.0,70,186,1.289,109.0,78.0
