zone_kind,r_target,expiry_days,iv_threshold,n,win_rate,avg_pnl_$,total_pnl_$,std_pnl_$
OB,1.0,0.5,75,439,0.677,0.965,423.6,7.994
OB,1.0,0.5,80,305,0.702,0.906,276.4,6.995
OB,1.0,0.5,85,247,0.692,0.716,176.8,7.448
OB,1.0,0.5,90,226,0.699,0.681,154.0,7.732
OB,1.0,1.0,60,1227,0.642,0.962,1180.8,6.322
OB,1.0,1.0,65,785,0.654,1.058,830.7,6.776
OB,1.0,1.0,70,548,0.657,1.007,551.7,7.427
OB,1.0,1.0,75,439,0.665,0.996,437.4,7.772
OB,1.0,1.0,80,305,0.689,0.906,276.4,6.705
OB,1.0,1.0,85,247,0.68,0.725,179.2,7.097
OB,1.0,1.0,90,226,0.686,0.696,157.4,7.363
OB,1.0,2.0,60,1227,0.637,0.963,1181.0,6.235
OB,1.0,2.0,65,785,0.65,1.069,839.1,6.665
OB,1.0,2.0,70,548,0.653,1.031,564.9,7.288
OB,1.0,2.0,75,439,0.661,1.029,451.5,7.59
OB,1.0,2.0,80,305,0.685,0.914,278.7,6.419
OB,1.0,2.0,85,247,0.676,0.742,183.2,6.751
OB,1.0,2.0,90,226,0.681,0.717,162.1,7.0
OB,1.0,3.0,60,1227,0.636,0.963,1182.0,6.197
OB,1.0,3.0,65,785,0.648,1.075,844.0,6.614
OB,1.0,3.0,70,548,0.651,1.043,571.7,7.224
OB,1.0,3.0,75,439,0.658,1.045,458.9,7.505
OB,1.0,3.0,80,305,0.682,0.919,280.4,6.273
OB,1.0,3.0,85,247,0.672,0.752,185.6,6.575
OB,1.0,3.0,90,226,0.681,0.73,164.9,6.816
OB,1.0,5.0,60,1227,0.632,0.964,1183.0,6.158
OB,1.0,5.0,65,785,0.646,1.082,849.6,6.564
OB,1.0,5.0,70,548,0.65,1.057,579.0,7.16
OB,1.0,5.0,75,439,0.656,1.064,466.9,7.418
OB,1.0,5.0,80,305,0.679,0.926,282.3,6.121
OB,1.0,5.0,85,247,0.668,0.763,188.5,6.393
OB,1.0,5.0,90,226,0.677,0.744,168.0,6.624
OB,1.5,0.5,60,1227,0.608,1.081,1326.3,6.798
OB,1.5,0.5,65,785,0.617,1.106,868.3,7.201
OB,1.5,0.5,70,548,0.622,0.988,541.5,7.807
OB,1.5,0.5,75,439,0.629,0.915,401.5,8.173
