depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
0.475,1.5,4.0,1.6212,1.5608,1.8227,184,460,227
0.7,2.0,1.0,1.9075,1.5607,2.5932,175,431,217
0.425,5.0,1.0,2.5248,1.5607,2.9697,186,463,229
0.6,3.0,4.0,2.4889,1.5605,2.3473,177,446,221
0.675,3.0,7.0,2.7533,1.5584,2.3295,175,436,218
0.625,3.5,3.0,2.5587,1.5584,2.6853,176,442,220
0.675,3.0,6.0,2.6862,1.5577,2.3298,175,436,218
0.6,3.0,3.0,2.3466,1.5573,2.3478,177,446,221
0.675,3.0,5.0,2.6054,1.5566,2.33,175,436,218
0.5,4.5,5.0,3.2933,1.5565,3.4428,181,459,226
0.625,3.5,4.0,2.7132,1.5558,2.683,176,442,220
0.675,3.0,4.0,2.5049,1.555,2.3299,175,436,218
0.625,3.5,5.0,2.8388,1.5548,2.6816,176,442,220
0.625,3.5,6.0,2.8258,1.5546,2.6805,176,442,220
0.625,3.5,7.0,3.0398,1.5546,2.6796,176,442,220
0.575,4.0,2.0,2.4463,1.5546,3.418,178,450,222
0.675,5.0,4.0,2.7277,1.554,3.6301,175,436,218
0.6,3.0,2.0,2.1601,1.5536,2.35,177,446,221
0.5,4.5,6.0,3.2429,1.5534,3.448,181,459,226
0.7,4.0,2.0,2.6957,1.5532,3.3126,175,431,217
0.7,4.0,1.0,2.3525,1.5528,3.2978,175,431,217
0.675,3.0,3.0,2.3752,1.5527,2.3297,175,436,218
0.475,1.5,3.0,1.495,1.5526,1.82,184,460,227
0.65,4.0,2.0,2.3371,1.5523,2.8958,176,438,220
0.5,4.5,7.0,3.3384,1.5522,3.4526,181,459,226
0.675,3.0,1.0,1.9309,1.5518,2.3342,175,436,218
0.45,4.0,3.0,2.406,1.5515,2.9495,185,460,228
0.625,4.0,1.0,1.7749,1.5507,3.0794,176,442,220
0.675,3.0,2.0,2.1985,1.5496,2.3294,175,436,218
0.575,4.0,3.0,2.6732,1.5486,3.4182,178,450,222
0.575,3.0,7.0,3.2042,1.5476,2.747,178,450,222
0.425,4.0,4.0,2.4904,1.5474,3.2186,186,463,229
0.675,5.0,5.0,2.8583,1.5471,3.635,175,436,218
0.575,4.0,1.0,2.1584,1.547,3.446,178,450,222
0.5,1.5,7.0,2.0384,1.5462,2.2206,181,459,226
0.575,2.0,7.0,2.5376,1.5456,2.4095,178,450,222
0.45,1.5,7.0,1.9162,1.5455,1.4752,185,460,228
0.575,3.0,6.0,3.1074,1.5438,2.7441,178,450,222
0.575,2.0,6.0,2.472,1.5435,2.4086,178,450,222
0.5,2.5,7.0,2.9146,1.5434,2.6475,181,459,226
0.6,3.0,1.0,1.8802,1.5433,2.3635,177,446,221
0.5,1.5,6.0,1.9815,1.5431,2.2198,181,459,226
0.675,5.0,6.0,2.9692,1.5425,3.6386,175,436,218
0.6,1.5,2.0,1.6295,1.5422,2.0961,177,446,221
0.55,4.0,3.0,2.8813,1.5419,3.5256,178,453,222
0.45,1.5,6.0,1.8613,1.5418,1.4755,185,460,228
0.575,2.0,5.0,2.3921,1.5407,2.4072,178,450,222
0.55,4.0,7.0,3.3445,1.5403,3.549,178,453,222
0.475,1.5,2.0,1.3124,1.5401,1.8146,184,460,227
0.575,4.0,4.0,2.8425,1.54,3.4206,178,450,222
0.55,4.0,4.0,3.0368,1.5396,3.534,178,453,222
0.55,4.0,6.0,3.2461,1.5394,3.5451,178,453,222
0.575,3.0,5.0,2.9964,1.5392,2.7407,178,450,222
0.675,5.0,7.0,3.0662,1.5391,3.6414,175,436,218
0.5,1.5,5.0,1.9117,1.5391,2.2184,181,459,226
0.55,4.0,5.0,3.1627,1.539,3.5403,178,453,222
0.475,4.0,4.0,2.7964,1.5385,3.2608,184,460,227
0.5,2.5,6.0,2.8185,1.5384,2.6435,181,459,226
0.7,1.5,2.0,2.6797,1.5376,2.4374,175,431,217
0.475,4.5,1.0,2.4966,1.5372,3.2397,184,460,227
0.45,1.5,5.0,1.7938,1.5371,1.4754,185,460,228
0.575,2.0,4.0,2.2914,1.5371,2.4049,178,450,222
0.65,4.5,2.0,2.2686,1.536,2.9888,176,438,220
0.575,4.0,5.0,2.9784,1.5349,3.423,178,450,222
0.5,1.5,4.0,1.8229,1.5336,2.216,181,459,226
0.575,3.0,4.0,2.8649,1.5335,2.7365,178,450,222
0.55,4.0,2.0,2.6166,1.5331,3.5145,178,453,222
0.575,2.0,3.0,2.1588,1.5323,2.4009,178,450,222
