r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,tf,split,depth_frac,n_zones
4.0,0.5,1550,0.326,-1.7093,-2649.37,15m,train,0.45,2354
4.0,0.75,1550,0.29,-2.6636,-4128.52,15m,train,0.45,2354
4.0,1.0,1550,0.277,-3.4225,-5304.84,15m,train,0.45,2354
4.0,1.5,1550,0.257,-4.6332,-7181.4,15m,train,0.45,2354
4.0,2.0,1550,0.24,-5.6291,-8725.12,15m,train,0.45,2354
4.5,0.25,1550,0.381,-0.3891,-603.18,15m,train,0.45,2354
4.5,0.5,1550,0.306,-1.6383,-2539.43,15m,train,0.45,2354
4.5,0.75,1550,0.27,-2.5866,-4009.17,15m,train,0.45,2354
4.5,1.0,1550,0.258,-3.353,-5197.13,15m,train,0.45,2354
4.5,1.5,1550,0.241,-4.5888,-7112.57,15m,train,0.45,2354
4.5,2.0,1550,0.23,-5.5981,-8677.04,15m,train,0.45,2354
5.0,0.25,1550,0.374,-0.3415,-529.33,15m,train,0.45,2354
5.0,0.5,1550,0.296,-1.6237,-2516.72,15m,train,0.45,2354
5.0,0.75,1550,0.256,-2.5941,-4020.81,15m,train,0.45,2354
5.0,1.0,1550,0.244,-3.3669,-5218.63,15m,train,0.45,2354
5.0,1.5,1550,0.224,-4.616,-7154.85,15m,train,0.45,2354
5.0,2.0,1550,0.215,-5.6526,-8761.52,15m,train,0.45,2354
1.5,0.25,1544,0.454,-1.3756,-2123.85,15m,train,0.475,2354
1.5,0.5,1544,0.359,-2.4802,-3829.42,15m,train,0.475,2354
1.5,0.75,1544,0.275,-3.2992,-5093.95,15m,train,0.475,2354
1.5,1.0,1544,0.205,-3.981,-6146.63,15m,train,0.475,2354
1.5,1.5,1544,0.123,-5.1155,-7898.34,15m,train,0.475,2354
1.5,2.0,1544,0.083,-6.0671,-9367.53,15m,train,0.475,2354
2.0,0.25,1544,0.443,-1.1809,-1823.3,15m,train,0.475,2354
2.0,0.5,1544,0.376,-2.3374,-3608.92,15m,train,0.475,2354
2.0,0.75,1544,0.316,-3.1813,-4911.95,15m,train,0.475,2354
2.0,1.0,1544,0.261,-3.8879,-6002.97,15m,train,0.475,2354
2.0,1.5,1544,0.175,-5.0397,-7781.29,15m,train,0.475,2354
2.0,2.0,1544,0.12,-6.0009,-9265.4,15m,train,0.475,2354
2.5,0.25,1544,0.423,-0.9737,-1503.4,15m,train,0.475,2354
2.5,0.5,1544,0.367,-2.2159,-3421.35,15m,train,0.475,2354
2.5,0.75,1544,0.325,-3.0717,-4742.7,15m,train,0.475,2354
2.5,1.0,1544,0.293,-3.791,-5853.26,15m,train,0.475,2354
2.5,1.5,1544,0.222,-4.9572,-7653.91,15m,train,0.475,2354
2.5,2.0,1544,0.177,-5.9261,-9149.84,15m,train,0.475,2354
3.0,0.25,1544,0.407,-0.7997,-1234.68,15m,train,0.475,2354
3.0,0.5,1544,0.351,-2.0872,-3222.7,15m,train,0.475,2354
