kind,tf,depth_frac,r_target,expiry_days,avg_pnl_holdout,avg_pnl_train,avg_pnl_validation,n_holdout,n_train,n_validation
BB,15m,0.7,2.0,0.083,1.0809,1.8746,3.2208,129,374,191
BB,15m,0.55,7.0,0.083,0.5683,1.8741,2.6748,132,395,191
BB,15m,0.6,5.0,0.083,0.699,1.8695,3.0963,131,392,191
BB,15m,0.325,7.0,0.167,1.9249,1.8681,3.8478,132,403,197
BB,15m,0.3,2.0,0.167,2.6202,1.8603,2.6617,134,402,199
BB,15m,0.675,7.0,0.167,1.2709,1.8559,3.3873,128,379,191
BB,15m,0.475,4.0,0.167,1.6275,1.8515,3.6687,136,395,189
BB,15m,0.65,2.0,0.125,0.5991,1.8504,2.7439,132,383,190
BB,15m,0.425,7.0,0.167,1.3902,1.8496,3.712,135,400,191
BB,15m,0.675,4.0,0.167,1.1656,1.8476,3.2528,128,379,191
BB,15m,0.575,5.0,0.167,0.7708,1.8419,3.298,132,397,191
BB,15m,0.4,5.0,0.167,1.7165,1.8365,3.8492,133,402,191
BB,15m,0.6,7.0,0.083,0.64,1.8365,2.8862,131,392,191
BB,15m,0.6,2.0,0.083,0.5304,1.835,2.8664,131,392,191
BB,15m,0.7,5.0,0.167,1.0895,1.8334,3.5674,129,374,191
BB,15m,0.4,4.0,0.167,1.5827,1.8323,3.9033,133,402,191
BB,15m,0.475,3.0,0.167,1.5289,1.8279,3.2501,136,395,189
BB,15m,0.45,7.0,0.167,1.4123,1.8176,3.4981,137,394,190
BB,15m,0.675,10.0,0.167,1.3421,1.8135,3.4561,128,379,191
BB,15m,0.425,10.0,0.167,1.4163,1.8102,3.7158,135,400,191
BB,15m,0.6,10.0,0.083,0.6437,1.8057,2.8944,131,392,191
BB,15m,0.575,4.0,0.167,0.7254,1.801,3.2074,132,397,191
BB,15m,0.475,7.0,0.167,1.7036,1.7933,3.6561,136,395,189
BB,15m,0.525,4.0,0.167,1.3433,1.7887,3.6772,134,392,189
BB,15m,0.45,10.0,0.167,1.4582,1.7869,3.5021,137,394,190
BB,15m,0.375,10.0,0.167,2.4252,1.7818,3.613,130,401,194
BB,15m,0.35,3.0,0.167,1.2094,1.7796,3.526,134,403,195
BB,15m,0.375,7.0,0.167,2.4006,1.7706,3.6053,130,401,194
BB,15m,0.65,4.0,0.167,0.8231,1.7651,3.0946,132,383,190
BB,15m,0.45,2.0,0.167,0.996,1.7627,2.3338,137,394,190
BB,15m,0.375,4.0,0.167,2.4544,1.7624,3.5527,130,401,194
BB,15m,0.65,5.0,0.167,0.789,1.7622,3.2948,132,383,190
BB,15m,0.7,2.0,0.125,0.7194,1.7608,2.9371,129,374,191
BB,15m,0.325,2.0,0.167,1.5783,1.76,2.8545,132,403,197
BB,15m,0.475,5.0,0.167,1.8867,1.7583,3.5933,136,395,189
BB,15m,0.55,4.0,0.167,0.5941,1.7544,3.314,132,395,191
BB,15m,0.425,7.0,0.25,0.8084,1.7529,2.9005,135,400,191
BB,15m,0.55,5.0,0.167,0.6384,1.7462,3.4814,132,395,191
BB,15m,0.625,5.0,0.167,0.519,1.7452,3.246,132,388,189
BB,15m,0.575,7.0,0.167,0.834,1.7434,3.2788,132,397,191
BB,15m,0.325,10.0,0.25,1.8472,1.7403,3.0692,132,403,197
BB,15m,0.6,5.0,0.167,0.4933,1.7357,3.1987,131,392,191
BB,15m,0.475,2.0,0.167,1.3602,1.7344,2.2598,136,395,189
BB,15m,0.675,2.0,0.167,0.5811,1.7292,2.2517,128,379,191
BB,15m,0.3,5.0,0.25,2.3148,1.727,3.0676,134,402,199
BB,15m,0.425,10.0,0.25,0.8959,1.7265,2.9461,135,400,191
BB,15m,0.35,5.0,0.167,1.5784,1.7253,3.7426,134,403,195
BB,15m,0.325,7.0,0.25,1.7654,1.7247,3.0474,132,403,197
BB,15m,0.4,10.0,0.167,1.5825,1.7218,3.8889,133,402,191
BB,15m,0.65,7.0,0.167,0.8937,1.7187,3.2196,132,383,190
BB,15m,0.7,4.0,0.167,1.1153,1.7187,3.311,129,374,191
BB,15m,0.625,4.0,0.167,0.5141,1.7167,2.9888,132,388,189
BB,15m,0.5,4.0,0.167,1.6148,1.7151,3.5211,134,397,190
BB,15m,0.325,5.0,0.25,1.8468,1.7139,3.1007,132,403,197
BB,15m,0.3,10.0,0.25,2.4729,1.7102,3.0328,134,402,199
BB,15m,0.4,7.0,0.167,1.5592,1.7099,3.8842,133,402,191
