r_target,expiry_days,n,win_rate,avg_pnl,total_pnl,kind,tf,split,depth_frac,n_zones
4.0,1.0,401,0.339,-1.3912,-557.87,BB,15m,train,0.375,767
4.0,2.0,401,0.319,-3.6372,-1458.51,BB,15m,train,0.375,767
4.0,5.0,401,0.279,-8.1257,-3258.41,BB,15m,train,0.375,767
5.0,0.083,401,0.676,2.1016,842.73,BB,15m,train,0.375,767
5.0,0.125,401,0.586,2.3555,944.54,BB,15m,train,0.375,767
5.0,0.167,401,0.526,1.9004,762.08,BB,15m,train,0.375,767
5.0,0.25,401,0.474,1.677,672.47,BB,15m,train,0.375,767
5.0,0.5,401,0.392,0.5335,213.94,BB,15m,train,0.375,767
5.0,1.0,401,0.322,-1.0574,-424.01,BB,15m,train,0.375,767
5.0,2.0,401,0.292,-3.2329,-1296.39,BB,15m,train,0.375,767
5.0,5.0,401,0.242,-7.8355,-3142.03,BB,15m,train,0.375,767
7.0,0.083,401,0.668,2.0232,811.31,BB,15m,train,0.375,767
7.0,0.125,401,0.576,2.211,886.62,BB,15m,train,0.375,767
7.0,0.167,401,0.516,1.7706,710.01,BB,15m,train,0.375,767
7.0,0.25,401,0.464,1.6053,643.71,BB,15m,train,0.375,767
7.0,0.5,401,0.377,0.6043,242.31,BB,15m,train,0.375,767
7.0,1.0,401,0.302,-0.7857,-315.07,BB,15m,train,0.375,767
7.0,2.0,401,0.259,-2.7959,-1121.16,BB,15m,train,0.375,767
7.0,5.0,401,0.217,-7.4906,-3003.73,BB,15m,train,0.375,767
10.0,0.083,401,0.668,2.0183,809.33,BB,15m,train,0.375,767
10.0,0.125,401,0.576,2.2092,885.91,BB,15m,train,0.375,767
10.0,0.167,401,0.516,1.7818,714.51,BB,15m,train,0.375,767
10.0,0.25,401,0.464,1.6256,651.86,BB,15m,train,0.375,767
10.0,0.5,401,0.364,0.3148,126.23,BB,15m,train,0.375,767
10.0,1.0,401,0.287,-0.809,-324.4,BB,15m,train,0.375,767
10.0,2.0,401,0.237,-2.632,-1055.44,BB,15m,train,0.375,767
10.0,5.0,401,0.175,-7.048,-2826.25,BB,15m,train,0.375,767
2.0,0.083,402,0.689,2.0856,838.4,BB,15m,train,0.4,767
2.0,0.125,402,0.624,2.1027,845.28,BB,15m,train,0.4,767
2.0,0.167,402,0.587,1.6544,665.08,BB,15m,train,0.4,767
2.0,0.25,402,0.557,1.1795,474.16,BB,15m,train,0.4,767
2.0,0.5,402,0.51,0.0291,11.68,BB,15m,train,0.4,767
2.0,1.0,402,0.47,-1.526,-613.45,BB,15m,train,0.4,767
2.0,2.0,402,0.403,-3.701,-1487.82,BB,15m,train,0.4,767
2.0,5.0,402,0.224,-8.0631,-3241.37,BB,15m,train,0.4,767
3.0,0.083,402,0.682,2.2941,922.22,BB,15m,train,0.4,767
3.0,0.125,402,0.607,2.3596,948.57,BB,15m,train,0.4,767
3.0,0.167,402,0.555,1.9383,779.19,BB,15m,train,0.4,767
3.0,0.25,402,0.515,1.5896,639.0,BB,15m,train,0.4,767
3.0,0.5,402,0.445,0.246,98.91,BB,15m,train,0.4,767
3.0,1.0,402,0.405,-1.4349,-576.83,BB,15m,train,0.4,767
3.0,2.0,402,0.378,-3.6266,-1457.89,BB,15m,train,0.4,767
3.0,5.0,402,0.289,-8.1105,-3260.42,BB,15m,train,0.4,767
4.0,0.083,402,0.667,2.1272,855.14,BB,15m,train,0.4,767
4.0,0.125,402,0.582,2.2595,908.33,BB,15m,train,0.4,767
