r_target,expiry_days,n,win_rate,avg_gross,avg_net,total_net,tf,split,depth_frac,n_zones
1.5,0.25,1166,0.48,0.7449,-1.0245,-1194.57,10m,validation,0.475,1381
1.5,0.5,1166,0.471,0.7169,-1.0572,-1232.64,10m,validation,0.475,1381
1.5,0.75,1166,0.467,0.7145,-1.0596,-1235.55,10m,validation,0.475,1381
1.5,1.0,1166,0.466,0.7145,-1.0596,-1235.52,10m,validation,0.475,1381
1.5,1.5,1166,0.464,0.7159,-1.0582,-1233.82,10m,validation,0.475,1381
1.5,2.0,1166,0.462,0.7175,-1.0566,-1232.02,10m,validation,0.475,1381
2.0,0.25,1166,0.445,0.7145,-1.0531,-1227.91,10m,validation,0.475,1381
2.0,0.5,1166,0.435,0.6565,-1.1176,-1303.07,10m,validation,0.475,1381
2.0,0.75,1166,0.43,0.6408,-1.1333,-1321.48,10m,validation,0.475,1381
2.0,1.0,1166,0.429,0.6331,-1.141,-1330.4,10m,validation,0.475,1381
2.0,1.5,1166,0.427,0.6257,-1.1485,-1339.09,10m,validation,0.475,1381
2.0,2.0,1166,0.425,0.622,-1.1521,-1343.4,10m,validation,0.475,1381
2.5,0.25,1166,0.413,0.8135,-0.9497,-1107.3,10m,validation,0.475,1381
2.5,0.5,1166,0.399,0.7116,-1.0617,-1237.94,10m,validation,0.475,1381
2.5,0.75,1166,0.393,0.6726,-1.1015,-1284.33,10m,validation,0.475,1381
2.5,1.0,1166,0.391,0.6564,-1.1177,-1303.23,10m,validation,0.475,1381
2.5,1.5,1166,0.387,0.64,-1.1341,-1322.32,10m,validation,0.475,1381
2.5,2.0,1166,0.384,0.6314,-1.1427,-1332.34,10m,validation,0.475,1381
3.0,0.25,1166,0.389,0.9472,-0.8076,-941.67,10m,validation,0.475,1381
3.0,0.5,1166,0.369,0.7906,-0.9825,-1145.58,10m,validation,0.475,1381
3.0,0.75,1166,0.358,0.7366,-1.0375,-1209.76,10m,validation,0.475,1381
3.0,1.0,1166,0.355,0.712,-1.0621,-1238.4,10m,validation,0.475,1381
3.0,1.5,1166,0.349,0.6861,-1.088,-1268.62,10m,validation,0.475,1381
3.0,2.0,1166,0.346,0.6719,-1.1022,-1285.13,10m,validation,0.475,1381
3.5,0.25,1166,0.372,1.0765,-0.6705,-781.77,10m,validation,0.475,1381
3.5,0.5,1166,0.348,0.8759,-0.897,-1045.86,10m,validation,0.475,1381
3.5,0.75,1166,0.335,0.8114,-0.9626,-1122.44,10m,validation,0.475,1381
3.5,1.0,1166,0.331,0.7813,-0.9927,-1157.53,10m,validation,0.475,1381
3.5,1.5,1166,0.324,0.7494,-1.0247,-1194.76,10m,validation,0.475,1381
3.5,2.0,1166,0.321,0.7319,-1.0422,-1215.15,10m,validation,0.475,1381
4.0,0.25,1166,0.358,1.1393,-0.5971,-696.2,10m,validation,0.475,1381
4.0,0.5,1166,0.331,0.9214,-0.8496,-990.63,10m,validation,0.475,1381
4.0,0.75,1166,0.318,0.846,-0.9269,-1080.73,10m,validation,0.475,1381
4.0,1.0,1166,0.314,0.8075,-0.9665,-1126.97,10m,validation,0.475,1381
4.0,1.5,1166,0.306,0.7658,-1.0082,-1175.59,10m,validation,0.475,1381
4.0,2.0,1166,0.303,0.7427,-1.0313,-1202.52,10m,validation,0.475,1381
4.5,0.25,1166,0.351,1.257,-0.4652,-542.41,10m,validation,0.475,1381
4.5,0.5,1166,0.321,1.0339,-0.7344,-856.26,10m,validation,0.475,1381
4.5,0.75,1166,0.307,0.9509,-0.8217,-958.06,10m,validation,0.475,1381
4.5,1.0,1166,0.302,0.9085,-0.8655,-1009.19,10m,validation,0.475,1381
4.5,1.5,1166,0.293,0.8629,-0.9111,-1062.39,10m,validation,0.475,1381
4.5,2.0,1166,0.29,0.8377,-0.9364,-1091.8,10m,validation,0.475,1381
5.0,0.25,1166,0.345,1.3408,-0.3667,-427.62,10m,validation,0.475,1381
5.0,0.5,1166,0.313,1.1257,-0.6388,-744.82,10m,validation,0.475,1381
5.0,0.75,1166,0.299,1.0379,-0.7339,-855.78,10m,validation,0.475,1381
5.0,1.0,1166,0.294,0.9938,-0.7799,-909.37,10m,validation,0.475,1381
5.0,1.5,1166,0.284,0.9468,-0.8273,-964.63,10m,validation,0.475,1381
5.0,2.0,1166,0.28,0.921,-0.8531,-994.77,10m,validation,0.475,1381
1.5,0.25,1164,0.482,0.7858,-0.9845,-1145.99,10m,validation,0.5,1381
1.5,0.5,1164,0.474,0.7695,-1.0039,-1168.54,10m,validation,0.5,1381
1.5,0.75,1164,0.472,0.7659,-1.0075,-1172.76,10m,validation,0.5,1381
1.5,1.0,1164,0.47,0.7651,-1.0083,-1173.71,10m,validation,0.5,1381
