ts_ms,open,high,low,close,volume
1780974900000,1667.97,1670.66,1666.01,1667.73,15084.73
1780975800000,1667.73,1669.18,1662.9,1667.54,5591.61
1780976700000,1667.54,1669.34,1664.21,1668.48,9030.18
1780977600000,1668.48,1672.37,1663.89,1668.85,18669.49
1780978500000,1668.85,1669.33,1664.97,1665.17,3634.03
1780979400000,1665.17,1692.0,1663.44,1685.17,77352.24
1780980300000,1685.17,1696.07,1682.72,1685.79,35358.66
1780981200000,1685.79,1688.55,1680.69,1686.85,12907.39
1780982100000,1686.85,1691.19,1686.44,1687.36,12669.25
1780983000000,1687.36,1695.0,1686.21,1689.91,11182.17
1780983900000,1689.91,1691.87,1686.72,1687.55,6594.17
1780984800000,1687.55,1690.79,1684.98,1688.61,8677.6
1780985700000,1688.61,1694.89,1687.06,1691.77,9229.3
1780986600000,1691.77,1693.18,1686.71,1687.83,4732.49
1780987500000,1687.83,1690.13,1683.01,1685.33,8126.04
1780988400000,1685.33,1691.0,1685.33,1685.71,6259.18
1780989300000,1685.71,1689.53,1674.17,1674.98,45597.53
1780990200000,1674.98,1681.11,1674.98,1680.65,14530.92
1780991100000,1680.65,1681.18,1677.0,1679.11,5639.31
1780992000000,1679.11,1679.97,1666.99,1674.69,49837.55
1780992900000,1674.69,1676.69,1667.74,1674.27,19177.73
1780993800000,1674.27,1678.4,1672.72,1676.98,6830.72
1780994700000,1676.98,1678.2,1673.12,1674.18,5937.55
1780995600000,1674.18,1676.28,1671.82,1676.05,6640.33
1780996500000,1676.05,1679.68,1673.75,1673.75,14249.97
1780997400000,1673.75,1674.15,1662.39,1668.26,37847.82
1780998300000,1668.26,1670.31,1667.97,1669.38,6347.36
1780999200000,1669.38,1672.34,1665.37,1671.82,12020.93
1781000100000,1671.82,1673.86,1669.38,1672.24,6112.58
1781001000000,1672.24,1672.56,1667.93,1670.65,3144.29
1781001900000,1670.65,1676.69,1669.07,1673.43,21867.3
1781002800000,1673.43,1674.36,1667.5,1667.7,13838.32
1781003700000,1667.7,1669.48,1665.0,1667.75,9471.9
1781004600000,1667.75,1672.25,1666.55,1670.3,7372.38
1781005500000,1670.3,1673.0,1668.16,1670.81,7181.32
1781006400000,1670.81,1683.09,1670.01,1680.73,52235.87
1781007300000,1680.73,1681.11,1674.9,1676.14,6847.2
1781008200000,1676.14,1678.4,1673.06,1673.3,6561.41
1781009100000,1673.3,1677.34,1670.65,1676.09,9903.56
1781010000000,1676.09,1679.91,1674.1,1674.97,7004.93
1781010900000,1674.97,1676.27,1666.34,1669.68,22654.13
1781011800000,1669.68,1674.94,1663.05,1672.49,22441.26
1781012700000,1672.49,1677.7,1665.53,1665.96,14573.02
1781013600000,1665.96,1670.44,1655.68,1656.03,35306.35
1781014500000,1656.03,1658.87,1637.17,1638.52,83482.3
1781015400000,1638.52,1645.33,1634.0,1635.99,59791.31
1781016300000,1635.99,1645.0,1632.0,1644.77,36342.29
1781017200000,1644.77,1652.89,1640.04,1650.2,23458.16
1781018100000,1650.2,1652.0,1638.11,1638.68,23364.34
1781019000000,1638.68,1643.91,1636.1,1640.14,21407.85
1781019900000,1640.14,1643.6,1633.39,1635.32,25795.08
1781020800000,1635.32,1638.61,1624.31,1628.43,52381.25
1781021700000,1628.43,1632.36,1621.2,1629.53,23937.61
1781022600000,1629.53,1634.71,1612.0,1627.8,79706.37
1781023500000,1627.8,1634.71,1623.56,1631.56,45357.08
1781024400000,1631.56,1645.61,1631.43,1640.75,56268.7
1781025300000,1640.75,1649.22,1640.0,1644.27,35382.95
1781026200000,1644.27,1648.37,1641.89,1643.08,12514.02
1781027100000,1643.08,1645.41,1638.48,1642.17,25161.11
1781028000000,1642.17,1646.89,1638.5,1644.67,32988.0
1781028900000,1644.67,1655.0,1643.64,1648.2,44373.53
1781029800000,1648.2,1652.77,1646.05,1646.28,9869.76
1781030700000,1646.28,1653.0,1646.27,1651.66,6760.15
1781031600000,1651.66,1654.58,1648.0,1648.7,5004.31
1781032500000,1648.7,1652.54,1647.35,1651.82,6585.72
1781033400000,1651.82,1658.0,1645.99,1651.84,24385.22
1781034300000,1651.84,1658.38,1646.89,1656.79,19559.91
1781035200000,1656.79,1661.71,1654.74,1661.53,18283.11
1781036100000,1661.53,1663.75,1655.0,1657.51,9345.69
1781037000000,1657.51,1661.94,1654.16,1659.76,7210.72
1781037900000,1659.76,1660.1,1657.31,1660.02,2909.99
1781038800000,1660.02,1661.09,1657.36,1658.98,4788.17
1781039700000,1658.98,1659.37,1650.2,1650.72,15360.61
1781040600000,1650.72,1652.68,1649.16,1650.13,4852.73
1781041500000,1650.13,1651.56,1646.0,1649.53,7920.95
1781042400000,1649.53,1651.45,1644.22,1651.15,15424.5
1781043300000,1651.15,1654.18,1646.35,1647.44,12549.32
1781044200000,1647.44,1649.98,1643.17,1644.95,9409.88
1781045100000,1644.95,1646.05,1638.5,1638.85,14723.47
1781046000000,1638.85,1640.8,1635.73,1638.19,15895.42
1781046900000,1638.19,1641.93,1633.98,1634.46,10586.0
1781047800000,1634.46,1636.4,1629.29,1636.31,15464.75
1781048700000,1636.31,1640.38,1634.95,1638.6,6657.47
1781049600000,1638.6,1644.05,1637.27,1641.76,7514.05
1781050500000,1641.76,1642.99,1637.97,1642.64,2731.17
1781051400000,1642.64,1643.31,1628.42,1631.36,15064.42
1781052300000,1631.36,1646.23,1630.03,1644.95,14996.2
1781053200000,1644.95,1646.26,1637.75,1641.92,7618.9
1781054100000,1641.92,1645.0,1639.18,1641.21,5382.08
1781055000000,1641.21,1642.9,1632.51,1634.3,5769.5
1781055900000,1634.3,1641.66,1633.31,1638.16,4815.17
1781056800000,1638.16,1641.85,1632.87,1633.16,6786.75
1781057700000,1633.16,1633.65,1624.05,1630.28,13970.02
1781058600000,1630.28,1631.78,1621.2,1624.43,12826.39
1781059500000,1624.43,1625.16,1620.38,1623.24,7711.63
1781060400000,1623.24,1629.12,1622.52,1627.1,10357.37
1781061300000,1627.1,1635.73,1625.1,1635.4,10536.62
1781062200000,1635.4,1635.56,1628.01,1630.02,7315.23
1781063100000,1630.02,1632.23,1628.04,1629.94,2139.26
1781064000000,1629.94,1630.65,1625.42,1629.34,6158.95
1781064900000,1629.34,1631.91,1628.03,1629.43,3204.46
1781065800000,1629.43,1629.43,1621.32,1623.21,8870.19
1781066700000,1623.21,1627.08,1621.99,1625.19,7182.87
1781067600000,1625.19,1626.78,1620.28,1621.43,7546.44
1781068500000,1621.43,1625.16,1615.04,1625.16,15374.76
1781069400000,1625.16,1626.09,1620.95,1624.4,4107.57
1781070300000,1624.4,1629.4,1621.36,1627.16,5221.13
1781071200000,1627.16,1629.87,1625.0,1627.92,4823.08
